,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,3.0,scoil-eoin,61630E
0,0.0,7.0,6.0,0.0,1.0,6.0,2.0,2.0,5.0,2.0,12.0,1.0,20.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,153.0,2013,85.0,ardscoil-na-trionode,68077S
0,0.0,49.0,38.0,1.0,1.0,13.0,3.0,2.0,1.0,3.0,14.0,9.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,153.0,2013,129.0,maynooth-post-primary-school,70700A
0,0.0,17.0,26.0,1.0,1.0,23.0,2.0,1.0,1.0,2.0,19.0,2.0,6.0,3.0,3.0,2.0,3.0,2.0,10.0,1.0,0.0,2.0,124.0,2013,135.0,newbridge-college,61680T
0,0.0,9.0,27.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,6.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,43.0,2013,20.0,st-patricks-community-college,70710D
0,0.0,5.0,15.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,4.0,1.0,5.0,2.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,104.0,2013,38.0,kildare-town-community-school,91530s
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2.0,vocational-school--,70690A
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013,1.0,scoil-mhuire,61640H
0,0.0,5.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,1.0,naas-community-college,76194S
0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,5.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,49.0,2013,21.0,st-pauls-secondary-school,61702D
0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,2019,5.0,maynooth-community-college,76193Q
0,0.0,18.0,30.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,15.0,1.0,13.0,1.0,9.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,125.0,2013,82.0,scoil-mhuire-community-school,91372D
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,3.0,presentation-secondary-school,61701B
0,0.0,8.0,35.0,0.0,3.0,6.0,2.0,2.0,1.0,1.0,18.0,14.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,81.0,2013,72.0,confey-community-college,70691C
0,0.0,21.0,25.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,15.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,120.0,2013,96.0,st-wolstans-community-school,91505T
0,0.0,5.0,21.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,12.0,1.0,18.0,1.0,7.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,105.0,2013,69.0,patrician-secondary-school,61681V
0,0.0,30.0,19.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,81.0,2013,77.0,leixlip-community-school,91371B
0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,43.0,2013,7.0,st-conleths-vocational-school,70680U
0,0.0,10.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.0,2013,30.0,st-farnans-post-primary-school,70720G
0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,1.0,12.0,2.0,3.0,1.0,15.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,78.0,2013,58.0,colaiste-lorcain,70670R
0,0.0,12.0,17.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,6.0,3.0,15.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,92.0,2013,70.0,holy-family-secondary-school,61682A
0,0.0,22.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,60.0,2021,34.0,celbridge-commuity-school,91614B
0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,30.0,2013,12.0,athy-community-college,70650L
0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,9.0,2013,6.0,gael-cholaiste-chill-dara,68072I
0,0.0,20.0,31.0,2.0,1.0,17.0,2.0,1.0,1.0,1.0,14.0,1.0,20.0,2.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,156.0,2013,128.0,coláiste-naomh-mhuire,61730I
0,0.0,37.0,16.0,1.0,3.0,2.0,11.0,5.0,1.0,1.0,11.0,14.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,156.0,2013,113.0,scoil-dara,61691B
0,0.0,6.0,7.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,13.0,1.0,5.0,1.0,1.0,2.0,9.0,1.0,0.0,2.0,104.0,2013,62.0,ardscoil-rath-iomgháin,70730J
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,7.0,st-josephs-acadamy,61700W
0,0.0,7.0,7.0,1.0,2.0,3.0,1.0,1.0,5.0,0.0,14.0,2.0,11.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,93.0,2013,74.0,cross-and-passion-college,61690W
0,0.0,1.0,6.0,0.0,2.0,20.0,1.0,1.0,2.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,78.0,2013,84.0,clongowes-wood-college,61720F
0,0.0,12.0,32.0,1.0,1.0,10.0,2.0,1.0,4.0,1.0,16.0,2.0,13.0,2.0,10.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,118.0,2013,112.0,meánscoil-iognáid-ris,61710C
0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,41.0,2013,22.0,kilmuckridge-vocational-college,71650Q
0,0.0,8.0,1.0,0.0,2.0,4.0,0.0,2.0,25.0,1.0,5.0,1.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,114.0,2013,81.0,presentation-secondary-school,63661C
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,19.0,2013,2.0,coláiste-abbain,71600B
0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,4.0,8.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,81.0,2017,23.0,gorey-community-college,76127d
0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,1.0,32.0,1.0,4.0,1.0,9.0,2.0,2.0,3.0,1.0,2.0,4.0,0.0,0.0,2.0,85.0,2013,62.0,bridgetown-vocational-college,71610E
0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,14.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,49.0,2013,46.0,our-lady-of-lourdes-secondary-school,63630O
0,0.0,4.0,10.0,1.0,3.0,4.0,3.0,2.0,27.0,1.0,18.0,1.0,11.0,1.0,2.0,3.0,7.0,1.0,4.0,1.0,0.0,1.0,222.0,2013,141.0,gorey-community-school,91492N
0,0.0,3.0,3.0,1.0,1.0,9.0,1.0,2.0,29.0,1.0,5.0,1.0,8.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,146.0,2013,89.0,coláiste-bride,63570W
0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,13.0,1.0,4.0,1.0,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,78.0,2013,61.0,christian-brothers-secondary-school,63640R
0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,2013,7.0,meanscoil-garman,68080H
0,0.0,5.0,4.0,0.0,1.0,2.0,1.0,1.0,32.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,93.0,2013,65.0,st.-marys-secondary-school,63620L
0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,23.0,2013,8.0,vocational-college-bunclody,71620H
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,2013,8.0,new-ross-vocational-college,71660T
0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,13.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,40.0,2013,28.0,christian-brothers-secondary-school,63600F
0,0.0,9.0,1.0,0.0,3.0,10.0,1.0,1.0,9.0,3.0,5.0,0.0,12.0,1.0,1.0,3.0,3.0,1.0,6.0,0.0,0.0,1.0,113.0,2013,109.0,loreto-secondary-school,63660A
0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,28.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,55.0,2013,46.0,ramsgrange-community-school,91431Q
0,0.0,5.0,3.0,1.0,1.0,9.0,1.0,1.0,21.0,2.0,9.0,0.0,11.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,3.0,111.0,2013,101.0,st-peters-college,63650U
0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,8.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,51.0,2013,17.0,wexford-vocational-college,71680C
0,0.0,8.0,8.0,1.0,1.0,8.0,2.0,3.0,17.0,2.0,18.0,0.0,23.0,2.0,3.0,2.0,2.0,2.0,6.0,1.0,0.0,2.0,137.0,2013,142.0,f.c.j.secondary-school,63550Q
0,0.0,4.0,5.0,0.0,1.0,4.0,2.0,0.0,24.0,3.0,7.0,1.0,13.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,0.0,1.0,129.0,2013,99.0,st.-marys-c.b.s.,63560T
0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,35.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,1.0,3.0,11.0,1.0,0.0,2.0,111.0,2013,103.0,good-counsel-college,63610I
0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,72.0,2013,17.0,vocational-college,71630K
0,0.0,8.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,2013,24.0,saint-dominics-secondary-school,60720A
0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,22.0,2013,10.0,kylemore-college,70240P
0,0.0,4.0,12.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,2013,18.0,st-johns-college-de-la-salle,60510M
0,0.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,2013,15.0,caritas-college,60732H
0,0.0,4.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,5.0,13.0,0.0,1.0,93.0,2013,65.0,abbey-community-college,76072E
0,0.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,5.0,0.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,10.0,0.0,1.0,47.0,2013,54.0,scoil-mhuire,65100S
0,0.0,7.0,2.0,1.0,0.0,1.0,9.0,0.0,2.0,1.0,3.0,1.0,3.0,16.0,1.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0,61.0,2013,68.0,c.b.s.-roscommon,65080P
0,0.0,6.0,1.0,0.0,0.0,1.0,13.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,90.0,2018,30.0,coláiste-chiaráin,68325L
0,0.0,2.0,2.0,2.0,0.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,12.0,0.0,1.0,1.0,2.0,6.0,15.0,0.0,1.0,66.0,2013,57.0,community-school,91493P
0,0.0,10.0,1.0,1.0,0.0,3.0,10.0,1.0,2.0,1.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,5.0,7.0,0.0,2.0,92.0,2013,86.0,scoilmuire-gan-smal,65090S
0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2013,5.0,roscommon-vocational-school,72290R
0,0.0,6.0,3.0,8.0,0.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,19.0,1.0,1.0,1.0,1.0,9.0,15.0,0.0,3.0,120.0,2013,103.0,st-nathys-college,68067P
0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,1.0,29.0,2013,26.0,elphin-community-college,72280O
0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,6.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,17.0,21.0,1.0,0.0,6.0,91.0,2013,77.0,st.-josephs-c.b.s,65370B
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1.0,st.-sheelans-college,72470T
0,0.0,3.0,3.0,1.0,1.0,6.0,1.0,1.0,8.0,5.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,9.0,1.0,0.0,8.0,110.0,2013,94.0,ursuline-secondary-school,65470F
0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,43.0,2013,36.0,presentation-secondary-school,65240L
0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,4.0,1.0,0.0,1.0,47.0,2013,31.0,nenagh-vocational-school,72440K
0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,18.0,2013,10.0,vocational-school,72490C
0,0.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,36.0,2013,37.0,cistercian-college,65410K
0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,11.0,10.0,1.0,0.0,10.0,86.0,2013,80.0,st-marys-secondary-school,65380E
0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,11.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,16.0,1.0,0.0,4.0,96.0,2013,90.0,presentation-secondary-school,65460C
0,0.0,4.0,3.0,1.0,0.0,2.0,5.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,6.0,8.0,1.0,0.0,7.0,97.0,2013,56.0,colaiste-phobáil-rós-cré,76069P
0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,14.0,13.0,1.0,0.0,6.0,75.0,2013,58.0,borrisokane-community-college,72370P
0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,6.0,13.0,1.0,0.0,4.0,54.0,2013,54.0,st-josephs-college,65241N
0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,28.0,2013,8.0,st-josephs-college,72450N
0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,14.0,4.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,12.0,18.0,0.0,0.0,9.0,117.0,2013,83.0,c.b.s.-thurles,65450W
0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,7.0,79.0,2013,60.0,our-ladys-secondary-school,65440T
0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,16.0,22.0,0.0,0.0,3.0,75.0,2013,49.0,st.-marys-secondary-school,65400H
0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2013,6.0,c.b.s.-james-street,60410I
0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,2013,4.0,presentation-college,60792C
0,0.0,3.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2013,9.0,mercy-secondary-school,60872A
0,0.0,1.0,6.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,26.0,2013,15.0,st-patricks-cathedral-g.s,60660I
0,0.0,1.0,8.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,43.0,2013,17.0,synge-street-cbs,60470D
0,0.0,1.0,24.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,18.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,94.0,2013,43.0,st-finians-community-college,70120F
0,0.0,2.0,11.0,1.0,5.0,6.0,1.0,7.0,1.0,0.0,12.0,4.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,115.0,2013,50.0,balbriggan-community-college,70010V
0,0.0,5.0,36.0,1.0,15.0,20.0,1.0,4.0,2.0,1.0,45.0,10.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,205.0,2013,181.0,malahide-community-school,91325R
0,0.0,2.0,16.0,1.0,6.0,5.0,1.0,8.0,1.0,1.0,11.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,84.0,2013,58.0,st-josephs-secondary-school,60343T
0,0.0,1.0,23.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,91.0,2013,48.0,fingal-community-college,70121H
0,0.0,8.0,32.0,1.0,4.0,8.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,97.0,2014,34.0,donabate-community-college,76104O
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,1.0,swords-community-college,76475D
0,0.0,5.0,20.0,0.0,4.0,7.0,1.0,1.0,1.0,0.0,17.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,118.0,2013,82.0,loreto-college,60810B
0,0.0,16.0,27.0,1.0,4.0,15.0,1.0,24.0,1.0,0.0,29.0,3.0,2.0,1.0,2.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,190.0,2013,163.0,loreto-secondary-school,60010P
0,0.0,2.0,11.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,2018,15.0,lusk-community-college,76213T
0,0.0,3.0,16.0,0.0,3.0,5.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,83.0,2015,27.0,ardgillan-community-college,76129H
0,0.0,2.0,33.0,1.0,8.0,13.0,1.0,3.0,1.0,0.0,21.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,120.0,2013,84.0,portmarnock-community-school,91324P
0,0.0,2.0,27.0,1.0,14.0,2.0,1.0,2.0,1.0,0.0,18.0,8.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,114.0,2013,83.0,coláiste-choilm,60383I
0,0.0,4.0,22.0,1.0,10.0,17.0,1.0,14.0,1.0,0.0,33.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,155.0,2013,142.0,skerries-community-college,76078Q
0,0.0,1.0,9.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,2013,9.0,trinity-comprehensive-school,81017A
0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2022,16.0,bremore-educate-together-secondary-school,68262N
0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,2020,18.0,coláiste-ghlór-na-mara,68082L
0,0.0,6.0,26.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,14.0,2.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,119.0,2013,65.0,coláiste-bríde,60122D
0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2023,12.0,griffeen-community-college,76454S
0,0.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,2013,17.0,deansrath-community-college,70040H
0,0.0,9.0,19.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,8.0,3.0,1.0,1.0,7.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,58.0,2013,38.0,coláiste-chilliain,70100W
0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2013,20.0,st.-kevins-community-college,70042L
0,0.0,9.0,43.0,1.0,4.0,3.0,3.0,1.0,2.0,0.0,7.0,3.0,1.0,1.0,28.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,93.0,2013,67.0,moyle-park-college,60121B
0,0.0,3.0,2.0,2.0,1.0,3.0,6.0,0.0,1.0,2.0,1.0,0.0,2.0,20.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,9.0,134.0,2013,123.0,dominican-college,62990Q
0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,29.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,61.0,2013,57.0,st.-marys-college,62980N
0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,20.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,75.0,2013,32.0,galway-community-college,71400Q
0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,40.0,0.0,2.0,1.0,4.0,5.0,1.0,0.0,2.0,101.0,2013,103.0,coláiste-einde,62981P
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,2013,27.0,presentation-secondary-school,63000E
0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,47.0,2019,18.5,merlin-college,76096S
0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2013,1.0,galway-technical-institute,71340B
0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,4.0,48.0,2013,51.0,coláiste-na-coiribe,71330V
0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,33.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,147.0,2013,162.0,st-josephs-college,62960H
0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,68.0,2017,23.0,our-ladys-college,68285C
