,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,22.0,12.0,1.0,1.0,11.0,3.0,12.0,2.0,0.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,138.0,2013,98.0,eureka-secondary-school,64410F
0,0.0,2.0,9.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,2013,28.0,beaufort-college,72010I
0,0.0,20.0,20.0,2.0,1.0,10.0,2.0,26.0,1.0,1.0,12.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,133.0,2013,112.0,loreto-secondary-school,64370T
0,0.0,14.0,23.0,2.0,2.0,1.0,3.0,12.0,3.0,1.0,11.0,12.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,108.0,2013,85.0,boyne-community-school,91508C
0,0.0,20.0,51.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,21.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,126.0,2013,92.0,ratoath-community-school,76088T
0,0.0,11.0,10.0,1.0,1.0,3.0,6.0,4.0,1.0,1.0,9.0,4.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,5.0,0.0,1.0,72.0,2013,57.0,st-oliver-post-primary,71990R
0,0.0,2.0,12.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,12.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,65.0,2013,41.0,franciscan-college,64420I
0,0.0,6.0,6.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28.0,2013,20.0,st.-fintinas-post-primary-school,71970L
0,0.0,10.0,15.0,1.0,3.0,1.0,2.0,23.0,3.0,0.0,9.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,111.0,2013,75.0,st-ciarans-community-school,91456J
0,0.0,10.0,5.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,109.0,2019,34.0,colaiste-na-mi,76173K
0,0.0,15.0,14.0,1.0,2.0,1.0,5.0,11.0,1.0,1.0,7.0,6.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,87.0,2013,67.0,athboy-community-school,91517D
0,0.0,31.0,47.0,1.0,4.0,6.0,2.0,5.0,1.0,1.0,26.0,17.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,156.0,2013,123.0,st-peters-college,71950F
0,0.0,12.0,35.0,0.0,2.0,11.0,2.0,15.0,1.0,2.0,26.0,14.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,151.0,2013,126.0,ashbourne-community-school,91495T
0,0.0,17.0,14.0,1.0,2.0,4.0,3.0,9.0,1.0,0.0,7.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,96.0,2013,71.0,scoil-mhuire,64450R
0,0.0,16.0,27.0,0.0,4.0,10.0,1.0,6.0,2.0,3.0,10.0,9.0,3.0,1.0,4.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,137.0,2013,109.0,community-college,71960I
0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,53.0,2013,43.0,st-pauls,63101K
